x= 4.2  y= 22.7  z= 34.9  magnitude = 41.8
x= -1060.0  y= 10.5  z= 39.6  magnitude = 1060.8
x= -460.0  y= 5.3  z= 40.6  magnitude = 461.8
x= 5.1  y= 19.8  z= 34.8  magnitude = 40.4
x= -736.0  y= 28.6  z= 29.1  magnitude = 737.1
x= -937.0  y= 27.7  z= 28.7  magnitude = 937.8
x= -1038.0  y= 27.3  z= 28.5  magnitude = 1038.7
x= -1051.0  y= 27.4  z= 28.4  magnitude = 1051.7
x= -1064.0  y= 27.5  z= 28.4  magnitude = 1064.7
x= -1015.0  y= 27.6  z= 28.3  magnitude = 1015.8
x= -997.0  y= 27.4  z= 28.8  magnitude = 997.8
x= -1110.0  y= 27.3  z= 28.9  magnitude = 1110.7
x= -1228.0  y= 25.9  z= 28.4  magnitude = 1228.6
x= -1300.0  y= 26.9  z= 26.2  magnitude = 1300.5
x= -977.0  y= 28.8  z= 29.4  magnitude = 977.9
x= 36.1  y= 18.3  z= 17.9  magnitude = 44.3
x= 35.1  y= 2.5  z= 21.4  magnitude = 41.2
x= 34.2  y= -535.0  z= 19.5  magnitude = 536.4
x= 33.5  y= -706.0  z= 19.3  magnitude = 707.1
x= 33.7  y= -677.0  z= 21.3  magnitude = 678.2
x= 34.1  y= -648.0  z= 21.5  magnitude = 649.3
x= 34.5  y= -596.0  z= 21.7  magnitude = 597.4
x= 34.3  y= -579.0  z= 22.1  magnitude = 580.4
x= 34.5  y= -525.0  z= 25.5  magnitude = 526.7
x= 22.6  y= 18.7  z= -851.0  magnitude = 851.5
x= 34.9  y= 6.6  z= 28.9  magnitude = 45.8
x= 35.1  y= -68.0  z= 30.5  magnitude = 82.4
x= 28.5  y= -708.0  z= 28.9  magnitude = 709.2
x= 28.2  y= 2.1  z= 28.0  magnitude = 39.8
x= 18.5  y= 3.6  z= 38.9  magnitude = 43.2
x= 18.4  y= 6.5  z= 39.9  magnitude = 44.4
x= 25.9  y= -598.0  z= 32.2  magnitude = 599.4
x= -926.0  y= -1889.0  z= -2046.0  magnitude = 2934.6
x= -1268.0  y= -933.0  z= -2351.0  magnitude = 2829.4
x= -1443.0  y= -970.0  z= -2177.0  magnitude = 2786.1
x= -1249.0  y= -2775.0  z= -83.0  magnitude = 3044.3
x= -1254.0  y= -1756.0  z= 37.2  magnitude = 2158.1
x= -1338.0  y= 38.1  z= -581.0  magnitude = 1459.2
x= -642.0  y= 40.1  z= 20.4  magnitude = 643.6
x= -815.0  y= 14.7  z= 35.9  magnitude = 815.9
x= -1730.0  y= -469.0  z= 32.3  magnitude = 1792.7
x= -1685.0  y= 23.1  z= 30.8  magnitude = 1685.4
x= -10.0  y= 34.4  z= 20.5  magnitude = 41.3
x= 17.5  y= 12.8  z= 42.2  magnitude = 47.4
x= -952.0  y= 12.5  z= 25.0  magnitude = 952.4
x= -2555.0  y= 21.1  z= 22.3  magnitude = 2555.2
x= -2058.0  y= 14.2  z= 24.9  magnitude = 2058.2
x= -2469.0  y= 8.1  z= 20.9  magnitude = 2469.1
x= -349.0  y= 2.0  z= 22.7  magnitude = 349.7
x= -1319.0  y= 17.2  z= -572.0  magnitude = 1437.8
x= -1348.0  y= -1311.0  z= -2809.0  magnitude = 3380.3
x= -1341.0  y= -1309.0  z= -2819.0  magnitude = 3385.0
x= -1340.0  y= -1307.0  z= -2821.0  magnitude = 3385.5
x= -1342.0  y= -1305.0  z= -2799.0  magnitude = 3367.3
x= -1338.0  y= -1306.0  z= -2820.0  magnitude = 3383.5
x= -1348.0  y= -1306.0  z= -2808.0  magnitude = 3377.5
x= -1341.0  y= -1305.0  z= -2818.0  magnitude = 3382.7
x= -1341.0  y= -1305.0  z= -2818.0  magnitude = 3382.7
x= -1343.0  y= -1306.0  z= -2807.0  magnitude = 3374.7
x= -1338.0  y= -1306.0  z= -2823.0  magnitude = 3386.0
x= -1349.0  y= -1307.0  z= -2797.0  magnitude = 3369.2
x= -1339.0  y= -1305.0  z= -2815.0  magnitude = 3379.4
x= -1348.0  y= -1303.0  z= -2820.0  magnitude = 3386.3
x= -1344.0  y= -1305.0  z= -2805.0  magnitude = 3373.0
x= -1346.0  y= -1305.0  z= -2818.0  magnitude = 3384.7
x= -1348.0  y= -1306.0  z= -2797.0  magnitude = 3368.4
x= -1343.0  y= -1304.0  z= -2816.0  magnitude = 3381.4
x= -1349.0  y= -1304.0  z= -2795.0  magnitude = 3366.3
x= -1344.0  y= -1306.0  z= -2805.0  magnitude = 3373.4
x= -1347.0  y= -1304.0  z= -2803.0  magnitude = 3372.2
x= -1348.0  y= -1307.0  z= -2796.0  magnitude = 3367.9
x= -1345.0  y= -1307.0  z= -2818.0  magnitude = 3385.0
x= -1348.0  y= -1304.0  z= -2792.0  magnitude = 3363.4
x= -1343.0  y= -1306.0  z= -2808.0  magnitude = 3375.5
x= -1350.0  y= -1305.0  z= -2803.0  magnitude = 3373.8
x= -1339.0  y= -1305.0  z= -2796.0  magnitude = 3363.6
x= -1343.0  y= -1305.0  z= -2809.0  magnitude = 3376.0
x= -1341.0  y= -1305.0  z= -2792.0  magnitude = 3361.0
x= -1342.0  y= -1304.0  z= -2816.0  magnitude = 3381.0
x= -1348.0  y= -1305.0  z= -2797.0  magnitude = 3368.0
x= -1338.0  y= -1305.0  z= -2822.0  magnitude = 3384.8
x= -1345.0  y= -1306.0  z= -2808.0  magnitude = 3376.3
x= -1339.0  y= -1306.0  z= -2792.0  magnitude = 3360.6
x= -1340.0  y= -1304.0  z= -2819.0  magnitude = 3382.7
x= -1342.0  y= -1304.0  z= -2798.0  magnitude = 3366.0
x= -1340.0  y= -1305.0  z= -2822.0  magnitude = 3385.6
x= -1346.0  y= -1301.0  z= -2803.0  magnitude = 3370.6
x= -1338.0  y= -1299.0  z= -2817.0  magnitude = 3378.3
x= -1347.0  y= -1296.0  z= -2810.0  magnitude = 3374.9
x= -1341.0  y= -1297.0  z= -2809.0  magnitude = 3372.1
x= -1340.0  y= -1299.0  z= -2818.0  magnitude = 3380.0
x= -1345.0  y= -1297.0  z= -2799.0  magnitude = 3365.4
x= -1338.0  y= -1297.0  z= -2817.0  magnitude = 3377.6
x= -1347.0  y= -1296.0  z= -2808.0  magnitude = 3373.3
x= -1341.0  y= -1296.0  z= -2811.0  magnitude = 3373.4
x= -1351.0  y= -1297.0  z= -2817.0  magnitude = 3382.7
x= -1343.0  y= -1297.0  z= -2804.0  magnitude = 3368.7
x= -1348.0  y= -1297.0  z= -2820.0  magnitude = 3384.0
x= -1346.0  y= -1297.0  z= -2795.0  magnitude = 3362.4
x= -1339.0  y= -1297.0  z= -2816.0  magnitude = 3377.1
x= -1347.0  y= -1296.0  z= -2790.0  magnitude = 3358.3
x= -1339.0  y= -1297.0  z= -2810.0  magnitude = 3372.1
x= -1350.0  y= -1296.0  z= -2793.0  magnitude = 3362.0
x= -1343.0  y= -1298.0  z= -2801.0  magnitude = 3366.6
x= -1347.0  y= -1297.0  z= -2797.0  magnitude = 3364.5
x= -1347.0  y= -1294.0  z= -2793.0  magnitude = 3360.0
x= -1344.0  y= -1297.0  z= -2814.0  magnitude = 3377.4
x= -1350.0  y= -1294.0  z= -2791.0  magnitude = 3359.6
x= -1336.0  y= -1296.0  z= -2803.0  magnitude = 3364.7
x= -1350.0  y= -1298.0  z= -2796.0  magnitude = 3365.3
x= -1346.0  y= -1297.0  z= -2795.0  magnitude = 3362.4
x= -1342.0  y= -1296.0  z= -2806.0  magnitude = 3369.6
x= -1349.0  y= -1295.0  z= -2791.0  magnitude = 3359.5
x= -1340.0  y= -1295.0  z= -2816.0  magnitude = 3376.8
x= -1350.0  y= -1298.0  z= -2795.0  magnitude = 3364.4
x= -1339.0  y= -1302.0  z= -2797.0  magnitude = 3363.2
x= -1346.0  y= -1306.0  z= -2807.0  magnitude = 3375.9
x= -1340.0  y= -1306.0  z= -2793.0  magnitude = 3361.9
x= -1344.0  y= -1309.0  z= -2814.0  magnitude = 3382.1
